title,author,genre,pages,publisher,borrow,user,deadline
Head first Java,Kathy Sierra,Java (Computer program language),688,O'Reilly Media
Introduction to Algorithms,Thomas H. Cormen,Algorithms,1292,MIT Press
"Core Java : an Integrated Approach, New",DT Editorial Services R. Nageswara Rao,,0,WILEY INDIA
Operating System Concepts,Abraham Silberschatz,Operating systems (Computers),900,Wiley
Java,Herbert Schildt,Java (Computer program language),1000,McGraw-Hill/Osborne
Computer science,J. Glenn Brookshear,Computer science,517,Pearson/Addison Wesley
Flora of Java,C. A. Backer,Plants,0,P. Noordhof
Max Havelaar of de koffijveilingen der Nederlansche handelmaatschappij,Multatuli,Colonies,355,K. H. Schadd
Big Java,Cay S. Horstmann,Java (Computer program language),1232,J. Wiley & Sons
Objects first with Java,David J. Barnes,Java (Computer program language),508,"Pearson Education, Limited"
Pocket Sudoku Easy,Pocket Puzzles,,79,Independently published
"Java, Java, Java",R. Morelli,Java (Computer program language),880,"Pearson Education, Limited"
Effective Java,Joshua Bloch,Java (Computer program language),311,Addison-Wesley Pub (Sd)
Pocket Word Search,Pocket Puzzles,,99,Independently published
Pocket Sudoku Hard,Sudoku Kingdom,,159,Independently published
Fundamentals of Programming using Java,Edward Currie,Java (computer program language),264,Int. Cengage Business Press
Introduction to Java Programming,Y. Daniel Liang,Java (Computer program language),952,Que Education & Training
Java Head,Joseph Hergesheimer,Merchants,255,BiblioBazaar
Java for dummies,Barry Burd,Java (Computer program language),488,For Dummies
Java software solutions,"Lewis, John",Java (Computer program language),832,Pearson/Addison Wesley
C++,Herbert Schildt,C# (Computer program language),632,Osborne McGraw-Hill
Java Concurrency in Practice,Brian Goetz,java programming language,408,"Pearson Education, Limited"
Thinking in Java,Bruce Eckel,Java (Computer program language),1123,Helion
Java Programming,Joyce Farrell,Java (Computer program language),524,Course Technology
Java,Walter J. Savitch,Java (Computer program language),1004,Pearson Education Canada
Think Python,Allen B. Downey,Computer programming,222,CreateSpace Independent Publishing Platform
"Java, Java, Java!",R. Morelli,Java (Computer program language),976,Prentice Hall
Core Java 2.,Cay S. Horstmann,Java (Computer program language),835,Sun Microsystems Press
Java Cookbook,Ian F. Darwin,Java (Computer program language),890,"O'Reilly Media, Incorporated"
An Introduction to Object-Oriented Programming With Java,C. Thomas Wu,Java (Computer program language),950,Mcgraw-Hill (Tx)
Java for dummies,Barry A. Burd,Computer Technology,360,Wiley Publishing Co.
Java,Andy Vickler,Computers,0,Independently Published
South by Java Head,Alistair MacLean,Drama,271,Fontana
Eloquent Javascript,Marijn Haverbeke,JavaScript (Computer program language),472,No Starch Press
Java foundations,"Lewis, John",Java (Computer program language),880,Pearson
Java,Peter Hutton,Guidebooks,311,Hougton Mifflin Co.
Core Java,Cay S. Horstmann,Java (Computer program language),864,Prentice Hall/Sun Microsystems Press
Java,Paul Deitel,,968,Pearson
Invitation to Computer Science,G. Michael Schneider,Computer science,724,West Pub. Co.
Data structures & algorithms in Java,Robert Lafore,Computer algorithms,776,"Pearson Education, Limited"
Learning Java,Patrick Niemeyer,Java (Computer program language),817,Brand: O'Reilly Media
Java foundations,"Lewis, John",Java (Computer program language),928,Pearson/Addison-Wesley
Course ILT,Course Technology,Telephone selling,238,Course Technology
Java Head,Joseph Hergesheimer,,255,A. A. Knopf
"Proceedings of the Court Martial, held on the officers and crew of His Majesty's late ship, the Java. --",Java (Frigate),Naval operations,18,Sine nomine
Java threads,Scott Oaks,Java (Computer program language),319,"O'Reilly Media, Incorporated"
Java 2,Herbert Schildt,Java (Computer program language),1077,Osborne/McGraw-Hill
Java Swing,Marc Loy,Java (Computer program language),1265,"O'Reilly Media, Inc."
Java,Harvey M. Deitel,Internet programming,1063,Prentice Hall
Inside Java,Tim Ritchey,Java (Computer program language),912,New Riders
Java in a Nutshell,David Flanagan,Java (Computer program language),648,Oreilly & Associates Inc
Developing Java software,R. Winder,Java (Computer program language),1004,John Wiley Sons
Java,subramaniyam k,,0,Independently Published
Beginning Programming with Java For Dummies,Barry Burd,Java (computer program language),520,"Wiley & Sons, Limited, John"
Exploring Java,Patrick Niemeyer,Java (Computer program language),413,O'Reilly Media
Java Programming,Gilbert Grunitzky,,0,Independently Published
"Java, Java, Java",R. Morelli,Programming Languages - Java,976,Prentice Hall
Java for dummies,Aaron E. Walsh,Java (Computer program language),373,Addison Wesley Longman
C how to program,Harvey M. Deitel,C (Computer program language),1059,Prentice-Hall International
"Java : the Complete Reference, Twelfth Edition",Herbert Schildt,,1248,McGraw-Hill Education
Learn Java for Android Development,Jeff Friesen,Java (computer program language),780,Springer
Java Head,Joseph Hergesheimer,,270,"New York, A. A. Knopf"
Let Us Java,Yashavant Kanetkar,,0,BPB Publications
Supervivientes,Java Rosenfarb ,,208,Xordica
2022 Calendar,Java Edtion,,0,Independently Published
Crazy Men Can Make You Do Crazy Things,Java Weathersby,,139,Java Weathersby
IMAGINE THAT!,Becki Java,,208,Xulon Press
Interpretation - Who Is Your Interpreter,Passion Java,Spirituality,0,Primedia eLaunch LLC
Ethan's Choice,Lily Java,,344,Independently published
Java Security,Scott Oaks,Java (Computer program language),463,O'Reilly
Java Für Dummies,Barry Burd,,444,"Wiley & Sons, Incorporated, John"
The Java language specification,James Gosling,Java (Computer program language),672,Addison-Wesley
The religion of Java,Clifford Geertz,Ethnology,392,University of Chicago Press
History of Java,"Raffles, Thomas Stamford Sir","Java (indonesia), history",596,"Creative Media Partners, LLC"
Java,Herbert Schildt,Java (Computer program language),1152,McGraw-Hill
The Java programming language,"Arnold, Ken",Java (Computer program language),595,Addison-Wesley Pub. Co.
Manifesting Your Dream World,Passion Java,Spirituality,0,Primedia eLaunch LLC
Prophetic Secrets,Passion Java,Spirituality,0,Primedia eLaunch LLC
WTF Is My Password : Alphabetical Password Organizer a-Z Index. Compact 6 X 9 Inches Filled with 100 Alphabetized Pages,Java Lava,,0,Independently Published
Serena's Vow,Lily Java,,0,Independently Published
Three Little Trolls,Neil Java,,0,Independently Published
Did Someone Say Coffee?,Java Journals,,0,Independently Published
Belleza Natural,Java Jeiman,,64,Atlantida
Metal,Java Davis,,0,CreateSpace Independent Publishing Platform
A Friend of Nikki Sunshine's,Java Bomani,,226,Trafford Publishing
Fourteen Types of Angels,Passion Java,Spirituality,0,Primedia eLaunch LLC
Vegan Software for the Zombie Soul,Melvin Java,Self-help techniques,0,Primedia eLaunch LLC
Cowgirl,Java Davis,FICTION,68,[publisher not identified]
Recipe Book,Java Colori,,0,Independently Published
Weekly Planner,Java Colori,,0,"Lulu Press, Inc."
Blackbirds,Lily Java,,322,Lily Java
I Love Coffee,Java Journals,,0,Independently Published
Coffee Is a Hug in a Mug,Java Journals,,0,Independently Published
Coffee and Friends Make the Perfect Blend,Java Journals,,0,Independently Published
Feminist Literary and Cultural Criticism,Java Singh,,0,Springer
Programma van het congres,Java-Instituut,,72,
Catalogus van de tentoonstelling te Soerabaja,Java-Instituut,,43,
Les règles vertes,Java Kavin,,181,Les Presses d'aujourd'hui
Feministische Literatur- und Kulturkritik,Java Singh,,0,Springer Vieweg. in Springer Fachmedien Wiesbaden GmbH
Java cryptography,Jonathan Knudsen,Java (Computer program language),344,"O'Reilly Media, Inc."
